ID,Expression,HalideResult,HalideTime
19,( && ( && ( && ( && ( && ( && num1 ( <= ( - ( + ( * ( + ( + ( min v0 num4 ) v1 ) num0 ) num4 ) num0 ) num15 ) ( - ( + ( * ( + ( + ( min v0 num4 ) v1 ) num0 ) num4 ) num0 ) num15 ) ) ) ( >= ( - ( + ( * ( + ( + ( min v0 num4 ) v1 ) ( + v2 num3 ) ) num4 ) num3 ) num15 ) ( - ( + ( * ( + ( + ( min v0 num4 ) v1 ) ( - ( + ( + v2 num4 ) num0 ) num1 ) ) num4 ) ( - ( + num4 num0 ) num1 ) ) num15 ) ) ) ( <= v3 ( + num0 v3 ) ) ) ( >= ( + v3 num6 ) ( + ( - ( + num7 num0 ) num1 ) v3 ) ) ) ( <= ( + ( * v4 num2 ) v5 ) ( + ( * v4 num2 ) v5 ) ) ) ( >= ( + ( * v4 num2 ) v5 ) ( + ( * v4 num2 ) v5 ) ) ),1,282
20,( != ( / ( + ( * v0 num64 ) num427 ) num276 ) num0 ),0,460
21,( == ( - ( max v0 num0 ) ( + ( * v1 num4 ) v2 ) ) ( - ( max v0 num0 ) ( + ( * v1 num4 ) v2 ) ) ),1,39
22,( <= ( max ( + ( min ( min ( + ( - ( / ( min ( + ( * v3 num8 ) num2 ) ( + v4 v5 ) ) num4 ) ( * ( + ( * v6 num12 ) v1 ) num2 ) ) num7 ) ( - num7 ( * ( max ( - v1 v2 ) numneg8 ) num2 ) ) ) ( - ( + num0 ( + ( * ( min ( - v2 v1 ) num8 ) num2 ) num9 ) ) num1 ) ) num1 ) ( min ( max ( + ( - ( / v5 num4 ) ( * ( + ( * v6 num12 ) v1 ) num2 ) ) num8 ) num0 ) ( + ( + ( * ( min ( - v2 v1 ) num8 ) num2 ) num9 ) num0 ) ) ) ( min ( max ( + ( - ( / v5 num4 ) ( * ( + ( * v6 num12 ) v1 ) num2 ) ) num8 ) num0 ) ( + ( + ( * ( min ( - v2 v1 ) num8 ) num2 ) num9 ) num0 ) ) ),0,3286
23,( == ( min ( / ( + ( + v0 v1 ) num68 ) num8 ) ( + ( / ( + v0 v1 ) num8 ) ( * v2 num8 ) ) ) ( min ( / ( + ( + v0 v1 ) num68 ) num8 ) ( + ( / ( + v0 v1 ) num8 ) ( * v2 num8 ) ) ) ),1,93
24,( && ( && ( && ( && ( && ( && num1 ( <= ( + ( + ( * num0 num4 ) v0 ) num0 ) ( + ( + ( * num0 num4 ) v0 ) num0 ) ) ) ( >= ( + ( + ( * ( / ( - v1 v0 ) num4 ) num4 ) v0 ) num3 ) ( + ( + ( * ( / ( - v1 v0 ) num4 ) num4 ) v0 ) ( - ( + num4 num0 ) num1 ) ) ) ) ( <= v2 v2 ) ) ( >= v2 v2 ) ) ( <= v3 v3 ) ) ( >= v3 v3 ) ),1,159
25,( == ( - ( - ( * ( + ( * ( max ( min ( / ( + v0 v1 ) num63 ) num31 ) num0 ) num2 ) v2 ) num4 ) ( * v2 num4 ) ) ( * ( max ( min ( / ( + v0 v1 ) num63 ) num31 ) num0 ) num8 ) ) ( - ( - ( * ( + ( * ( max ( min ( / ( + v0 v1 ) num63 ) num31 ) num0 ) num2 ) v2 ) num4 ) ( * v2 num4 ) ) ( * ( max ( min ( / ( + v0 v1 ) num63 ) num31 ) num0 ) num8 ) ) ),1,144
26,( == ( / ( + ( * ( - ( / ( + ( + v0 v1 ) num39 ) num8 ) ( / v1 num8 ) ) num8 ) num753 ) num697 ) ( / ( + ( * ( - ( / ( + ( + v0 v1 ) num39 ) num8 ) ( / v1 num8 ) ) num8 ) num753 ) num697 ) ),1,37
27,( != ( / ( + ( - v0 v1 ) num81 ) num68 ) num0 ),0,453
28,( == ( + ( min ( * ( + ( / v0 num32 ) v1 ) num16 ) ( + ( * ( / ( + ( + v2 v0 ) num31 ) num32 ) num16 ) num67 ) ) ( * v3 num8 ) ) ( + ( min ( * ( + ( / v0 num32 ) v1 ) num16 ) ( + ( * ( / ( + ( + v2 v0 ) num31 ) num32 ) num16 ) num67 ) ) ( * v3 num8 ) ) ),1,83
29,( == ( min ( * ( / ( + ( + v0 v1 ) num63 ) num32 ) num4 ) ( + ( * v2 num4 ) num35 ) ) ( min ( * ( / ( + ( + v0 v1 ) num63 ) num32 ) num4 ) ( + ( * v2 num4 ) num35 ) ) ),1,64
30,( == ( - ( min ( * ( - v0 v1 ) num16 ) num72 ) num72 ) num1 ),0,45
31,( == ( min ( - ( max ( min ( + v0 v1 ) num2000 ) num1 ) ( max ( min v1 num1999 ) num0 ) ) ( + v2 num124 ) ) ( min ( - ( max ( min ( + v0 v1 ) num2000 ) num1 ) ( max ( min v1 num1999 ) num0 ) ) ( + v2 num124 ) ) ),1,128
32,( == ( min ( + ( min ( * v0 num32 ) num56 ) v1 ) ( + ( max ( min v2 num990 ) numneg9 ) num310 ) ) ( min ( + ( min ( * v0 num32 ) num56 ) v1 ) ( + ( max ( min v2 num990 ) numneg9 ) num310 ) ) ),1,68
33,( == ( min ( max ( min ( / ( + ( + v0 v1 ) num129 ) num2 ) num999 ) num0 ) ( + v2 num15 ) ) ( min ( max ( min ( / ( + ( + v0 v1 ) num129 ) num2 ) num999 ) num0 ) ( + v2 num15 ) ) ),1,94
34,( == ( min ( + ( * v0 num60 ) ( * ( + ( * v1 num4 ) v2 ) num32 ) ) ( + ( * v3 num8 ) num140 ) ) ( min ( + ( * v0 num60 ) ( * ( + ( * v1 num4 ) v2 ) num32 ) ) ( + ( * v3 num8 ) num140 ) ) ),1,77
35,( == ( min ( - ( - ( max ( min ( / ( + ( + v0 v1 ) num7 ) num8 ) num249 ) num0 ) ( * v2 num17 ) ) ( max ( min ( / v1 num8 ) num249 ) num0 ) ) ( + ( min v3 num6 ) num7 ) ) ( min ( - ( - ( max ( min ( / ( + ( + v0 v1 ) num7 ) num8 ) num249 ) num0 ) ( * v2 num17 ) ) ( max ( min ( / v1 num8 ) num249 ) num0 ) ) ( + ( min v3 num6 ) num7 ) ) ),1,108
36,( == ( / ( + ( - ( max ( min ( / ( + ( + v0 v1 ) num7 ) num8 ) num249 ) num0 ) ( max ( min ( / v1 num8 ) num249 ) num0 ) ) num85 ) num84 ) ( / ( + ( - ( max ( min ( / ( + ( + v0 v1 ) num7 ) num8 ) num249 ) num0 ) ( max ( min ( / v1 num8 ) num249 ) num0 ) ) num85 ) num84 ) ),1,265
37,( == ( + ( min ( * ( / v0 num16 ) num8 ) num4 ) ( * v1 num340 ) ) ( + ( min ( * ( / v0 num16 ) num8 ) num4 ) ( * v1 num340 ) ) ),1,79
38,( == ( min ( * ( / v0 num63 ) num8 ) ( + ( * ( / ( + ( + v1 v0 ) num314 ) num63 ) num8 ) num29 ) ) ( min ( * ( / v0 num63 ) num8 ) ( + ( * ( / ( + ( + v1 v0 ) num314 ) num63 ) num8 ) num29 ) ) ),1,72
39,( == ( + ( * ( + ( min ( - ( / ( + ( + v0 v1 ) num64 ) num65 ) ( * v2 num4 ) ) ( + ( + ( / v1 num65 ) ( * v3 num8 ) ) num3 ) ) ( * v3 numneg8 ) ) numneg2 ) ( + ( * ( / v1 num65 ) num2 ) v4 ) ) ( + ( * ( + ( min ( - ( / ( + ( + v0 v1 ) num64 ) num65 ) ( * v2 num4 ) ) ( + ( + ( / v1 num65 ) ( * v3 num8 ) ) num3 ) ) ( * v3 numneg8 ) ) numneg2 ) ( + ( * ( / v1 num65 ) num2 ) v4 ) ) ),1,127
40,( == ( / ( + ( - ( max ( + v0 v1 ) num2000 ) ( min v1 num0 ) ) num63 ) num64 ) ( / ( + ( - ( max ( + v0 v1 ) num2000 ) ( min v1 num0 ) ) num63 ) num64 ) ),1,79
41,( == ( min ( + ( * v0 num4 ) v1 ) ( + v2 num23 ) ) ( min ( + ( * v0 num4 ) v1 ) ( + v2 num23 ) ) ),1,55
42,( == ( min ( * ( - ( / ( + ( + v0 v1 ) num1999 ) num2000 ) ( / v1 num2000 ) ) num256 ) ( + ( * v2 num256 ) num399 ) ) ( min ( * ( - ( / ( + ( + v0 v1 ) num1999 ) num2000 ) ( / v1 num2000 ) ) num256 ) ( + ( * v2 num256 ) num399 ) ) ),1,82
43,( == ( - ( * ( / ( + ( + v0 v1 ) num93 ) num2 ) num2 ) num19 ) ( - ( + ( - ( * ( / ( + ( + v0 v1 ) num93 ) num2 ) num2 ) num19 ) ( + ( * ( % ( + ( + v0 v1 ) num1 ) num2 ) num2 ) num70 ) ) num1 ) ),0,185
44,( == ( * ( / ( * v0 numneg12 ) num4 ) num4 ) ( * v0 numneg12 ) ),1,121
45,( == ( max ( min ( / ( + v0 num1009 ) num1004 ) v1 ) ( / ( + v0 num6 ) num1004 ) ) ( max ( min ( / ( + v0 num1009 ) num1004 ) v1 ) ( / ( + v0 num6 ) num1004 ) ) ),1,50
46,( == ( - ( - ( / ( + ( + v0 v1 ) num351 ) num32 ) ( * v2 num37 ) ) ( + ( / v1 num32 ) v3 ) ) ( - ( - ( / ( + ( + v0 v1 ) num351 ) num32 ) ( * v2 num37 ) ) ( + ( / v1 num32 ) v3 ) ) ),1,39
47,( == ( + ( * v0 num44 ) ( + ( min ( * v1 num128 ) num124 ) ( + v2 v3 ) ) ) ( + ( * v0 num44 ) ( + ( min ( * v1 num128 ) num124 ) ( + v2 v3 ) ) ) ),1,48
48,( == ( * ( / ( max ( min ( + ( * v2 numneg500 ) ( - v1 ( min v1 num4 ) ) ) num496 ) numneg4 ) num4 ) num4 ) ( max ( min ( + ( * v2 numneg500 ) ( - v1 ( min v1 num4 ) ) ) num496 ) numneg4 ) ),0,969
49,( == ( min ( + ( * v0 num4 ) ( + ( * v1 num16 ) v2 ) ) ( + v3 num8 ) ) ( min ( + ( * v0 num4 ) ( + ( * v1 num16 ) v2 ) ) ( + v3 num8 ) ) ),1,75
50,( == ( min ( * ( + v0 v1 ) num4 ) ( + ( * ( + ( * v2 num125 ) v1 ) num4 ) num503 ) ) ( min ( * ( + v0 v1 ) num4 ) ( + ( * ( + ( * v2 num125 ) v1 ) num4 ) num503 ) ) ),1,62
51,( == ( min ( + ( + ( * v0 num256 ) v1 ) num245 ) v2 ) ( min ( + ( + ( * v0 num256 ) v1 ) num245 ) v2 ) ),1,43
52,( >= ( - ( * v0 num16 ) num558 ) ( - ( + ( - ( * v0 num16 ) num558 ) num438 ) num1 ) ),0,40
53,( == ( / ( + ( - ( max ( min ( * ( / ( + ( + v0 v1 ) num127 ) num32 ) num4 ) num246 ) numneg3 ) ( max ( min ( * ( / v1 num32 ) num4 ) num281 ) num32 ) ) num67 ) num32 ) ( / ( + ( - ( max ( min ( * ( / ( + ( + v0 v1 ) num127 ) num32 ) num4 ) num246 ) numneg3 ) ( max ( min ( * ( / v1 num32 ) num4 ) num281 ) num32 ) ) num67 ) num32 ) ),1,248
54,( == ( - ( / ( min ( * ( max ( min ( / ( + ( + v0 v1 ) num1 ) num2 ) num999 ) num0 ) num8 ) num7914 ) num4 ) ( + ( * v2 num4 ) v3 ) ) ( - ( / ( min ( * ( max ( min ( / ( + ( + v0 v1 ) num1 ) num2 ) num999 ) num0 ) num8 ) num7914 ) num4 ) ( + ( * v2 num4 ) v3 ) ) ),1,102
55,( == ( min ( + ( * v0 num8 ) v1 ) ( + ( * ( / ( + ( + v2 v3 ) num249 ) num250 ) num32 ) num46 ) ) ( min ( + ( * v0 num8 ) v1 ) ( + ( * ( / ( + ( + v2 v3 ) num249 ) num250 ) num32 ) num46 ) ) ),1,82
56,( == ( + ( * v0 num2 ) ( + ( * v1 num87 ) v2 ) ) ( + ( * v0 num2 ) ( + ( * v1 num87 ) v2 ) ) ),1,49
57,( >= num0 ( - ( + num0 ( / ( + ( % ( + v0 v1 ) num8 ) num220 ) num32 ) ) num1 ) ),0,40
58,( == num0 ( - ( + num0 ( - num18 ( max ( * v0 num4 ) num14 ) ) ) num1 ) ),0,49
59,( == ( min ( min ( - num10 ( * ( max ( + ( / v0 num63 ) ( - ( * v1 num2 ) ( / ( - ( + v2 v0 ) num1 ) num63 ) ) ) numneg1 ) num8 ) ) ( - num252 ( * v3 num8 ) ) ) ( + ( * ( min ( - ( - ( / ( - ( + v2 v0 ) num1 ) num63 ) ( * v1 num2 ) ) ( / v0 num63 ) ) num1 ) num8 ) num12 ) ) ( min ( min ( - num10 ( * ( max ( + ( / v0 num63 ) ( - ( * v1 num2 ) ( / ( - ( + v2 v0 ) num1 ) num63 ) ) ) numneg1 ) num8 ) ) ( - num252 ( * v3 num8 ) ) ) ( + ( * ( min ( - ( - ( / ( - ( + v2 v0 ) num1 ) num63 ) ( * v1 num2 ) ) ( / v0 num63 ) ) num1 ) num8 ) num12 ) ) ),1,170
60,( == ( min ( - num1939 ( + ( * v0 num126 ) v1 ) ) ( + ( min v2 num115 ) num10 ) ) ( min ( - num1939 ( + ( * v0 num126 ) v1 ) ) ( + ( min v2 num115 ) num10 ) ) ),1,559
61,( == ( + ( max ( min ( + ( min ( * v0 num63 ) num62 ) ( + v1 v2 ) ) num1999 ) num0 ) ( * v3 num4 ) ) ( + ( max ( min ( + ( min ( * v0 num63 ) num62 ) ( + v1 v2 ) ) num1999 ) num0 ) ( * v3 num4 ) ) ),1,99
62,( >= ( max ( / ( + ( - ( max v0 num0 ) v1 ) num1 ) num32 ) num0 ) ( - ( + ( max ( / ( + ( - ( max v0 num0 ) v1 ) num1 ) num32 ) num0 ) ( + ( - ( max ( / ( - ( max v0 num0 ) v1 ) num32 ) numneg1 ) ( max ( / ( + ( - ( max v0 num0 ) v1 ) num1 ) num32 ) num0 ) ) num1 ) ) num1 ) ),0,2828
63,( == ( - ( * ( min ( * ( / ( + ( + v0 v1 ) num447 ) num32 ) num4 ) ( + ( * ( + ( / v1 num32 ) ( * v2 num48 ) ) num4 ) num115 ) ) num2 ) ( / ( min ( * ( + ( / v1 num32 ) ( * v2 num48 ) ) num32 ) ( + ( * ( min ( * ( / ( + ( + v0 v1 ) num447 ) num32 ) num4 ) ( - ( * ( + ( / v1 num32 ) ( * v2 num48 ) ) num4 ) num77 ) ) num8 ) num609 ) ) num4 ) ) ( - ( * ( min ( * ( / ( + ( + v0 v1 ) num447 ) num32 ) num4 ) ( + ( * ( + ( / v1 num32 ) ( * v2 num48 ) ) num4 ) num115 ) ) num2 ) ( / ( min ( * ( + ( / v1 num32 ) ( * v2 num48 ) ) num32 ) ( + ( * ( min ( * ( / ( + ( + v0 v1 ) num447 ) num32 ) num4 ) ( - ( * ( + ( / v1 num32 ) ( * v2 num48 ) ) num4 ) num77 ) ) num8 ) num609 ) ) num4 ) ) ),1,168
64,( == ( - ( min ( + ( min ( + ( * v0 num4 ) v1 ) ( + ( min v1 v2 ) num8 ) ) num4 ) ( + ( * ( / ( + ( min ( * v0 num4 ) ( + ( - ( + ( * v3 numneg12 ) v4 ) v1 ) num8 ) ) num7 ) num4 ) num4 ) v1 ) ) ( * v0 num4 ) ) ( - ( min ( + ( min ( + ( * v0 num4 ) v1 ) ( + ( min v1 v2 ) num8 ) ) num4 ) ( + ( * ( / ( + ( min ( * v0 num4 ) ( + ( - ( + ( * v3 numneg12 ) v4 ) v1 ) num8 ) ) num7 ) num4 ) num4 ) v1 ) ) ( * v0 num4 ) ) ),1,118
65,( >= ( - v0 num5 ) ( - ( + ( - v0 num5 ) num15 ) num1 ) ),0,33
66,( == ( + ( * ( / ( + ( min ( + ( * v0 numneg1011 ) ( - v1 v2 ) ) num1000 ) num16 ) num64 ) num64 ) ( * v0 num1011 ) ) ( + ( * ( / ( + ( min ( + ( * v0 numneg1011 ) ( - v1 v2 ) ) num1000 ) num16 ) num64 ) num64 ) ( * v0 num1011 ) ) ),1,72
67,( == ( + ( * v0 num16 ) ( + ( * ( / ( + v1 v2 ) num8 ) num2 ) ( + ( * v3 num8 ) v4 ) ) ) ( + ( * v0 num16 ) ( + ( * ( / ( + v1 v2 ) num8 ) num2 ) ( + ( * v3 num8 ) v4 ) ) ) ),1,65
68,( >= ( max ( - numneg1012 ( * v0 num8 ) ) ( + ( * v0 num8 ) num7 ) ) num0 ),0,315
69,( == ( min ( + ( max ( min ( + v0 v1 ) num2002 ) num3 ) ( * v2 num4 ) ) ( + ( max ( min ( + v0 v1 ) num1745 ) numneg254 ) num254 ) ) ( min ( + ( max ( min ( + v0 v1 ) num2002 ) num3 ) ( * v2 num4 ) ) ( + ( max ( min ( + v0 v1 ) num1745 ) numneg254 ) num254 ) ) ),1,87
70,( == ( + ( min ( - ( - ( * v0 num8 ) ( * v1 num1236 ) ) ( * v2 num8 ) ) num1224 ) ( * v3 numneg8 ) ) ( + ( min ( - ( - ( * v0 num8 ) ( * v1 num1236 ) ) ( * v2 num8 ) ) num1224 ) ( * v3 numneg8 ) ) ),1,71
71,( == ( / ( + ( - ( / ( + v0 num2 ) num8 ) ( * ( / ( - ( max ( min v1 num2002 ) num3 ) num3 ) num16 ) num2 ) ) num66 ) num64 ) ( / ( + ( - ( / ( + v0 num2 ) num8 ) ( * ( / ( - ( max ( min v1 num2002 ) num3 ) num3 ) num16 ) num2 ) ) num66 ) num64 ) ),1,97
72,( == ( + ( max ( min ( / v0 num8 ) num256 ) num7 ) ( * v1 num128 ) ) ( + ( max ( min ( / v0 num8 ) num256 ) num7 ) ( * v1 num128 ) ) ),1,20
73,( == ( + ( * v0 numneg64 ) ( - ( / ( + ( + v1 v2 ) num7 ) num8 ) v3 ) ) ( + ( * v0 numneg64 ) ( - ( / ( + ( + v1 v2 ) num7 ) num8 ) v3 ) ) ),1,559
74,( == ( - ( + ( min ( - ( max ( min v0 num999 ) num0 ) ( * v1 num32 ) ) ( + ( + ( max ( min ( / v2 num2 ) num999 ) num0 ) ( * v3 num16 ) ) num15 ) ) ( * v3 numneg16 ) ) ( + ( max ( min ( / v2 num2 ) num999 ) num0 ) ( * v4 num2 ) ) ) ( - ( + ( min ( - ( max ( min v0 num999 ) num0 ) ( * v1 num32 ) ) ( + ( + ( max ( min ( / v2 num2 ) num999 ) num0 ) ( * v3 num16 ) ) num15 ) ) ( * v3 numneg16 ) ) ( + ( max ( min ( / v2 num2 ) num999 ) num0 ) ( * v4 num2 ) ) ) ),1,130
75,( == ( / ( + ( - ( max ( min ( / ( + ( + v0 v1 ) num31 ) num8 ) num249 ) num0 ) ( max ( min ( / v1 num8 ) num250 ) num1 ) ) num126 ) num125 ) ( / ( + ( - ( max ( min ( / ( + ( + v0 v1 ) num31 ) num8 ) num249 ) num0 ) ( max ( min ( / v1 num8 ) num250 ) num1 ) ) num126 ) num125 ) ),1,320
76,( == ( / ( + ( * ( - ( / ( - ( + v0 v1 ) num1 ) num63 ) ( / v1 num63 ) ) num8 ) num93 ) num86 ) ( / ( + ( * ( - ( / ( - ( + v0 v1 ) num1 ) num63 ) ( / v1 num63 ) ) num8 ) num93 ) num86 ) ),1,93
77,( == ( max ( min ( max ( / ( + ( - v0 ( * v1 num8 ) ) num31 ) num32 ) num0 ) ( + ( / ( - ( max v2 num0 ) v1 ) num4 ) num1 ) ) ( + ( min ( min ( / ( - ( - ( + v3 v0 ) ( * v1 num8 ) ) num1 ) num32 ) ( / ( - ( - ( max v2 num0 ) v1 ) num3 ) num4 ) ) ( / ( - ( max v2 num0 ) v1 ) num4 ) ) num1 ) ) ( max ( min ( max ( / ( + ( - v0 ( * v1 num8 ) ) num31 ) num32 ) num0 ) ( + ( / ( - ( max v2 num0 ) v1 ) num4 ) num1 ) ) ( + ( min ( min ( / ( - ( - ( + v3 v0 ) ( * v1 num8 ) ) num1 ) num32 ) ( / ( - ( - ( max v2 num0 ) v1 ) num3 ) num4 ) ) ( / ( - ( max v2 num0 ) v1 ) num4 ) ) num1 ) ) ),1,178
78,( == ( - v0 ( + ( * v1 num4 ) ( + ( * v2 num60 ) v3 ) ) ) ( - v0 ( + ( * v1 num4 ) ( + ( * v2 num60 ) v3 ) ) ) ),1,40
79,( == ( / ( + ( - ( max ( min ( * ( / ( - ( + v0 v1 ) num1 ) num63 ) num8 ) num244 ) numneg5 ) ( max ( min ( * ( / v1 num63 ) num8 ) num285 ) num36 ) ) num105 ) num63 ) ( / ( + ( - ( max ( min ( * ( / ( - ( + v0 v1 ) num1 ) num63 ) num8 ) num244 ) numneg5 ) ( max ( min ( * ( / v1 num63 ) num8 ) num285 ) num36 ) ) num105 ) num63 ) ),1,220
80,( == ( - ( - ( / ( - ( + v0 v1 ) num1 ) num8 ) ( * v2 num125 ) ) ( / v1 num8 ) ) ( - ( - ( / ( - ( + v0 v1 ) num1 ) num8 ) ( * v2 num125 ) ) ( / v1 num8 ) ) ),1,137
81,( == ( min ( * ( + ( * ( max ( min ( / v0 num63 ) num31 ) num0 ) num16 ) v1 ) num4 ) ( + ( * ( max ( min ( / ( - ( + v2 v0 ) num1 ) num63 ) num31 ) num0 ) num64 ) num158 ) ) ( min ( * ( + ( * ( max ( min ( / v0 num63 ) num31 ) num0 ) num16 ) v1 ) num4 ) ( + ( * ( max ( min ( / ( - ( + v2 v0 ) num1 ) num63 ) num31 ) num0 ) num64 ) num158 ) ) ),1,117
82,( == ( / ( + ( * ( - ( max ( min ( * ( / ( + ( + v0 v1 ) num124 ) num125 ) num16 ) num204 ) numneg45 ) ( max ( min ( * ( / v1 num125 ) num16 ) num286 ) num37 ) ) num4 ) num579 ) num250 ) ( / ( + ( * ( - ( max ( min ( * ( / ( + ( + v0 v1 ) num124 ) num125 ) num16 ) num204 ) numneg45 ) ( max ( min ( * ( / v1 num125 ) num16 ) num286 ) num37 ) ) num4 ) num579 ) num250 ) ),1,228
83,( == ( + ( * v0 num17 ) ( * ( / v1 num63 ) num8 ) ) ( + ( * v0 num17 ) ( * ( / v1 num63 ) num8 ) ) ),1,76
